group_slug,group_name,group_family,launch_date
phase1-launch-01,Launch 1,phase1,2019-11-11
phase1-launch-02,Launch 2,phase1,2020-01-07
phase1-launch-03,Launch 3,phase1,2020-01-29
phase1-launch-04,Launch 4,phase1,2020-02-17
phase1-launch-05,Launch 5,phase1,2020-03-18
phase1-launch-06,Launch 6,phase1,2020-04-22
phase1-launch-07,Launch 7,phase1,2020-06-04
phase1-launch-08,Launch 8,phase1,2020-06-13
phase1-launch-09,Launch 9,phase1,2020-08-07
phase1-launch-10,Launch 10,phase1,2020-08-18
phase1-launch-11,Launch 11,phase1,2020-09-03
phase1-launch-12,Launch 12,phase1,2020-10-06
phase1-launch-13,Launch 13,phase1,2020-10-18
phase1-launch-14,Launch 14,phase1,2020-10-24
phase1-launch-15,Launch 15,phase1,2020-11-25
phase1-launch-16,Launch 16,phase1,2021-01-20
phase1-launch-18,Launch 18,phase1,2021-02-04
phase1-launch-19,Launch 19,phase1,2021-02-16
phase1-launch-17,Launch 17,phase1,2021-03-04
phase1-launch-20,Launch 20,phase1,2021-03-11
phase1-launch-21,Launch 21,phase1,2021-03-14
phase1-launch-22,Launch 22,phase1,2021-03-24
phase1-launch-23,Launch 23,phase1,2021-04-07
phase1-launch-24,Launch 24,phase1,2021-04-29
phase1-launch-25,Launch 25,phase1,2021-05-04
phase1-launch-27,Launch 27,phase1,2021-05-09
phase1-launch-26,Launch 26,phase1,2021-05-15
phase1-launch-28,Launch 28,phase1,2021-05-26
group-2-1,Group 2-1,group2,2021-09-14
group-4-1,Group 4-1,group4,2021-11-13
group-4-3,Group 4-3,group4,2021-12-02
group-4-4,Group 4-4,group4,2021-12-18
group-4-5,Group 4-5,group4,2022-01-06
group-4-6,Group 4-6,group4,2022-01-19
group-4-7,Group 4-7,group4,2022-02-03
group-4-8,Group 4-8,group4,2022-02-21
group-4-11,Group 4-11,group4,2022-02-25
group-4-9,Group 4-9,group4,2022-03-03
group-4-10,Group 4-10,group4,2022-03-09
group-4-12,Group 4-12,group4,2022-03-19
group-4-14,Group 4-14,group4,2022-04-21
group-4-16,Group 4-16,group4,2022-04-29
group-4-17,Group 4-17,group4,2022-05-06
group-4-13,Group 4-13,group4,2022-05-13
group-4-15,Group 4-15,group4,2022-05-14
group-4-18,Group 4-18,group4,2022-05-18
group-4-19,Group 4-19,group4,2022-06-17
group-4-21,Group 4-21,group4,2022-07-07
group-3-1,Group 3-1,group3,2022-07-11
group-4-22,Group 4-22,group4,2022-07-17
group-3-2,Group 3-2,group3,2022-07-22
group-4-25,Group 4-25,group4,2022-07-24
group-4-26,Group 4-26,group4,2022-08-10
group-3-3,Group 3-3,group3,2022-08-12
group-4-27,Group 4-27,group4,2022-08-19
group-4-23,Group 4-23,group4,2022-08-28
group-3-4,Group 3-4,group3,2022-08-31
group-4-20,Group 4-20,group4,2022-09-05
group-4-2,Group 4-2,group4,2022-09-11
group-4-34,Group 4-34,group4,2022-09-19
group-4-35,Group 4-35,group4,2022-09-24
group-4-29,Group 4-29,group4,2022-10-05
group-4-36,Group 4-36,group4,2022-10-20
group-4-31,Group 4-31,group4,2022-10-28
group-4-37,Group 4-37,group4,2022-12-17
group-5-1,Group 5-1,group5,2022-12-28
group-2-4,Group 2-4,group2,2023-01-19
group-5-2,Group 5-2,group5,2023-01-26
group-2-6,Group 2-6,group2,2023-01-31
group-5-3,Group 5-3,group5,2023-02-02
group-5-4,Group 5-4,group5,2023-02-12
group-2-5,Group 2-5,group2,2023-02-17
group-2-7,Group 2-7,group2,2023-03-03
group-2-8,Group 2-8,group2,2023-03-17
group-5-5,Group 5-5,group5,2023-03-24
group-5-10,Group 5-10,group5,2023-03-29
group-3-5,Group 3-5,group3,2023-04-27
group-5-6,Group 5-6,group5,2023-05-04
group-2-9,Group 2-9,group2,2023-05-10
group-5-9,Group 5-9,group5,2023-05-14
group-2-10,Group 2-10,group2,2023-05-31
group-5-11,Group 5-11,group5,2023-06-12
group-5-7,Group 5-7,group5,2023-06-22
group-5-12,Group 5-12,group5,2023-06-23
group-5-13,Group 5-13,group5,2023-07-07
group-5-15,Group 5-15,group5,2023-07-16
